actor/train/kl,_step,rewards/train/score/mean,completions/train/mean_length
,0,0.25,174.5
-0.007875644601881504,1,-0.5,236.0
0.005920309107750654,2,0.25,655.5
0.0005569327040575445,3,-0.5,102.0
-0.0007705875905230641,4,-0.5,87.5
0.011435024440288544,5,-2.5,768.0
0.0010646097362041473,6,-0.5,244.5
0.0011691267136484385,7,-1.5,500.0
0.0033734075259417295,8,-1.5,497.0
-0.0014779437333345413,9,-0.5,173.5
0.001955235842615366,10,-2.5,768.0
-0.00038133811904117465,11,0.75,278.0
0.007963661104440689,12,3.75,480.5
-0.0006147478125058115,13,0.25,87.5
0.0013436890440061688,14,-1.5,443.5
-0.0031712306663393974,15,-0.5,142.0
-0.00525264348834753,16,-0.5,175.0
-0.004531784448772669,17,-1.0,537.0
0.0025984090752899647,18,-0.75,460.5
-0.0031593397725373507,19,0.25,134.0
0.005304080434143543,20,-0.75,472.0
-0.004177236929535866,21,-1.5,517.0
0.0016046040691435337,22,1.0,150.5
0.0026581850834190845,23,0.25,274.0
0.0015844568843021989,24,-0.5,83.0
-0.020320111885666847,25,-0.75,82.0
-0.0005755540914833546,26,-0.5,135.0
-0.004325598478317261,27,-1.5,128.5
0.0016554971225559711,28,-2.5,731.5
0.002112351590767503,29,0.25,366.0
0.002465308178216219,30,-2.5,222.0
0.000543310830835253,31,-1.5,156.5
-0.007786004804074764,32,0.25,187.5
0.0076711527071893215,33,-0.5,174.0
-0.00631644856184721,34,-1.5,768.0
0.006469985004514456,35,1.0,101.5
0.006691260728985071,36,-2.0,421.0
0.0012466991320252419,37,-0.25,142.5
-0.003817086573690176,38,-0.5,175.0
-0.007908543571829796,39,-0.25,131.5
0.00588530208915472,40,0.25,239.5
-0.0012497632997110486,41,-0.5,99.5
0.007035566959530115,42,-1.0,124.5
0.0022912847343832254,43,-1.5,464.0
-0.00525809358805418,44,-1.0,184.5
-0.0025102465879172087,45,-1.5,454.5
-0.00034172594314441085,46,-0.5,176.5
0.0006577867898158729,47,-0.5,280.5
-0.001698662294074893,48,-0.5,226.5
-0.010547928512096405,49,1.0,207.0
-0.0026395677123218775,50,-1.5,504.0
-0.0019424303900450468,51,0.75,201.5
-0.003987172618508339,52,-1.5,492.0
-0.00047666660975664854,53,-0.5,147.0
0.0013844432542100549,54,-0.5,189.5
-0.004684563726186752,55,-1.5,491.0
-0.0013251393102109432,56,3.5,151.0
-0.006345698144286871,57,-0.5,301.0
-0.0011495546204969287,58,-1.5,105.0
0.016637912020087242,59,-1.0,151.0
0.012717487290501595,60,0.5,87.5
0.010160000063478947,61,-1.0,130.5
-0.0010779735166579485,62,-2.5,768.0
-0.0002466378209646791,63,1.0,119.5
0.011348939500749111,64,-0.75,449.0
0.00038591312477365136,65,-0.5,308.5
0.0030201768968254328,66,-0.5,225.0
-0.00011941273987758905,67,-0.5,76.0
-0.0018766553839668632,68,-0.5,266.0
-0.0023863441310822964,69,-1.5,427.5
-0.0022049930412322283,70,-0.5,202.0
0.007200482301414013,71,-0.5,141.5
0.0047831786796450615,72,1.0,304.0
0.002223165472969413,73,-1.5,496.0
-0.0009517190046608448,74,0.5,125.5
0.010602897964417934,75,0.25,183.0
0.007633230648934841,76,-0.5,123.0
0.02254963107407093,77,-0.5,75.0
0.009449259378015995,78,-0.5,99.0
0.007223822642117739,79,1.0,98.5
-0.0014413843164220452,80,-0.5,119.5
-0.008797960355877876,81,-0.5,107.5
-0.0009467900963500142,82,-0.25,101.5
-0.0014226941857486963,83,-1.5,514.5
0.004211479797959328,84,-0.5,152.0
0.0007840332109481096,85,-0.5,126.5
0.03512534126639366,86,-1.0,230.0
-0.0016676157247275114,87,-0.5,197.0
0.021049875766038895,88,-1.5,565.5
